id,name,first_air_date,popularity,vote_average,vote_count,status,in_production,num_seasons,num_episodes,genres,type,original_language,origin_country,avg_episode_runtime,show_age_days,days_since_last_episode,keywords,last_air_date,us_content_rating,imdb_id,created_by,homepage
108296,Resident Evil,2022-07-14,6.5609,5.604,588,Canceled,False,1,8,"Drama, Sci-Fi & Fantasy",Scripted,en,US,,1287.0,1287.0,"post-apocalyptic future, outbreak, survival, evil corporation, zombie",2022-07-14,TV-MA,tt9660182,Andrew Dabb,https://www.netflix.com/title/80996532
135959,That '90s Show,2023-01-19,6.5498,6.759,197,Canceled,False,2,26,Comedy,Scripted,en,US,,1098.0,517.0,"high school, first love, nostalgic, sitcom, 1990s",2024-08-22,TV-14,tt15591076,"Gregg Mettler, Bonnie Turner, Terry Turner, Lindsay Turner",https://www.netflix.com/title/81288370
235995,Hot Wheels Let's Race,2024-03-04,6.5451,8.4,17,Returning Series,True,3,20,"Animation, Kids, Action & Adventure",Scripted,en,US,,688.0,324.0,"based on toy, race, car",2025-03-03,TV-Y,tt29338462,"Melanie Shannon, Jordan Gershowitz, Rob David",https://www.netflix.com/title/81566729
230069,Breathless,2024-08-30,6.5441,7.614,101,Returning Series,True,2,16,Drama,Scripted,es,ES,,509.0,82.0,"strike, public health, medical drama, gay relationship, gay sex",2025-10-31,TV-MA,tt28298539,Carlos Montero,https://www.netflix.com/title/81667161
156077,I Am Georgina,2022-01-27,6.5259,7.1,320,Returning Series,True,3,18,Reality,Reality,es,ES,40.0,1455.0,490.0,businesswoman,2024-09-18,TV-14,tt15494864,,https://www.netflix.com/title/81423622
301001,Mrs Playmen,2025-11-12,6.4908,7.816,19,Ended,False,1,7,Drama,Miniseries,it,IT,,70.0,70.0,adult magazine,2025-11-12,TV-MA,tt31078757,"Mario Ruggeri, Eleonora Cimpanelli, Chiara Laudani, Sergio Leszczynski, Alessandro Sermoneta",https://www.netflix.com/title/81481336
73411,Maniac,2018-09-21,6.4631,7.357,950,Ended,False,1,10,"Comedy, Drama, Sci-Fi & Fantasy",Miniseries,en,US,,2679.0,2679.0,"schizophrenia, computer, surrealism, dark comedy, psychiatric hospital",2018-09-21,TV-MA,tt5580146,"Patrick Somerville, Cary Joji Fukunaga",https://www.netflix.com/title/80124522
79746,Explained,2018-05-23,6.4473,7.5,121,Ended,False,3,44,Documentary,Documentary,en,US,20.0,2800.0,1559.0,"experiment, nature, news, investigate, zeitgeist",2021-10-15,TV-MA,tt8005374,Ezra Klein,https://www.netflix.com/title/80216752
131721,Oggy Oggy,2021-08-24,6.4292,6.0,2,Returning Series,True,3,195,"Animation, Kids, Comedy",Scripted,en,US,7.0,1611.0,737.0,reboot,2024-01-15,TV-Y,tt11194006,"Jean Cayrol, Cédric Guarneri",https://www.oggy-oggy.com/
244623,Running Point,2025-02-27,6.4055,7.119,109,Returning Series,True,2,10,Comedy,Scripted,en,US,,328.0,328.0,"sports, basketball team, workplace comedy, sports comedy",2025-02-27,TV-MA,tt14879018,"Mindy Kaling, Ike Barinholtz, David Stassen, Elaine Ko",https://www.netflix.com/title/81483318
211079,Supersex,2024-03-06,6.3932,6.746,134,Ended,False,1,7,Drama,Miniseries,it,IT,,686.0,686.0,,2024-03-06,TV-MA,tt22325774,,https://www.netflix.com/title/81517010
138130,Falling in Love Like a Romantic Drama,2018-05-26,6.3915,8.0,4,Returning Series,True,10,156,Reality,Scripted,ja,JP,38.0,2797.0,1060.0,"variety show, reality show",2023-02-26,,tt20421388,,https://www.netflix.com/title/81498937
117023,Sky Rojo,2021-03-19,6.3316,7.517,535,Ended,False,3,24,"Action & Adventure, Crime, Drama",Scripted,es,ES,26.5,1769.0,1104.0,"prostitute, gun, freedom, heist, money",2023-01-13,TV-MA,tt8690776,"Álex Pina, Esther Martínez Lobato",https://www.netflix.com/title/81012637
205319,Daily Dose of Sunshine,2023-11-03,6.3302,8.184,125,Ended,False,1,12,Drama,Scripted,ko,KR,,810.0,810.0,"nurse, hospital, doctor, mental illness, psychiatric ward",2023-11-03,TV-MA,tt26258202,"Lee Ra-ha, JQ Lee, Lee Nam-kyu",https://www.netflix.com/title/81572595
245219,Death by Lightning,2025-11-06,6.3174,7.339,62,Ended,False,1,4,"Drama, Crime",Miniseries,en,US,53.0,76.0,76.0,"based on novel or book, usa president, president, miniseries, political assassination",2025-11-06,TV-MA,tt31121364,Mike Makowsky,https://www.netflix.com/title/81438325
87826,Selling Sunset,2019-03-22,6.3157,6.5,58,Returning Series,True,9,90,Reality,Reality,en,US,,2497.0,77.0,"market, los angeles, california, biting, real estate agent, curious",2025-11-05,TV-MA,tt9817298,Adam DiVello,https://www.netflix.com/title/80223108
96571,Move to Heaven,2021-05-14,6.2672,7.964,360,Ended,False,1,10,Drama,Miniseries,ko,KR,52.0,1713.0,1713.0,"based on novel or book, autism, family, death, gay theme",2021-05-14,,tt11052470,Yoon Ji-ryun,https://www.netflix.com/title/80990381
97083,The Circle,2020-01-01,6.2076,6.828,96,Returning Series,True,7,90,Reality,Reality,en,US,50.0,2212.0,476.0,"game show, social network, hidden identity, catfishing, reality competition",2024-10-02,TV-MA,tt9581768,Tim Harcourt,https://www.netflix.com/title/81044551
83880,Our Planet,2019-04-05,6.1813,8.509,426,Ended,False,2,12,"Documentary, Family",Documentary,en,GB,50.0,2483.0,952.0,"climate change, natural history, global warming, biology, wildlife",2023-06-14,TV-PG,tt9253866,,https://www.netflix.com/title/80049832
102904,Sweet Magnolias,2020-05-19,6.166,7.8,256,Returning Series,True,5,40,Drama,Scripted,en,US,,2073.0,349.0,"based on novel or book, shepherd, south carolina, romance",2025-02-06,TV-14,tt9077540,Sheryl J. Anderson,https://www.netflix.com/title/80239866
